subject,trial,stimword,stimcolor,respcolor,reaction_time
156864,78,Y,Y,Y,992
156864,79,B,B,B,1280
156864,80,Y,Y,Y,1160
156864,81,B,B,B,1039
156864,82,G,G,G,976
156864,83,B,B,B,1256
156864,84,G,G,G,728
156864,85,Y,Y,Y,1008
156864,86,R,R,R,440
156864,87,Y,Y,Y,960
156864,88,R,R,R,807
156864,89,G,G,G,1120
156864,90,Y,Y,Y,1008
156865,1,Y,G,G,3844
156865,2,B,R,R,3992
156865,3,R,G,G,1616
156865,4,Y,B,B,1408
156865,5,R,G,R,2304
156865,6,B,R,R,2496
156865,7,R,Y,Y,2624
156865,8,B,G,G,2464
156865,9,Y,B,Y,3200
156865,11,Y,B,B,1816
156865,12,B,R,R,2224
156865,13,G,Y,G,1968
156865,14,Y,B,B,2976
156865,15,B,R,R,2320
156865,16,Y,G,G,2120
156865,17,B,Y,Y,2632
156865,18,G,R,R,2592
156865,19,R,G,G,1943
156865,20,G,Y,Y,1935
156865,21,B,R,R,2472
156865,22,R,B,B,1832
156865,23,B,R,R,1695
156865,24,Y,B,B,3319
156865,25,G,Y,Y,3839
156865,26,B,R,R,2087
156865,27,G,B,B,2200
156865,28,Y,G,G,1615
156865,29,B,Y,Y,2031
156865,30,G,B,B,1599
156865,31,R,G,G,1329
156865,32,Y,B,B,1295
156865,33,G,R,R,1240
156865,34,R,Y,Y,1943
156865,35,Y,G,G,2944
156865,36,B,R,R,1952
156865,37,R,G,G,2984
156865,38,B,R,R,1631
156865,39,Y,G,G,2640
156865,40,G,Y,Y,2240
156865,41,Y,G,G,1848
156865,42,R,B,B,2464
156865,43,Y,G,G,4208
156865,44,G,R,R,1624
156865,45,R,G,G,1792
156865,46,Y,Y,Y,2149
156865,47,G,G,G,1712
156865,48,B,B,B,1583
156865,49,Y,Y,Y,1505
156865,50,B,B,B,1415
156865,51,R,R,R,1128
156865,52,G,G,G,1048
156865,53,B,B,B,1232
156865,54,G,G,G,1175
156865,55,Y,Y,Y,1089
156865,56,R,R,R,1000
156865,57,Y,Y,Y,959
156865,58,G,G,G,1096
156865,59,R,R,R,984
156865,60,G,G,G,983
156865,61,Y,Y,Y,1232
156865,62,B,B,B,1368
156865,63,Y,Y,Y,1704
156865,64,B,B,B,968
156865,65,G,G,G,1056
156865,66,Y,Y,Y,960
156865,67,B,B,B,1072
156865,68,Y,Y,Y,984
156865,69,B,B,B,1584
156865,70,G,G,G,536
156865,71,B,B,B,1184
156865,72,R,R,R,576
156865,73,B,B,B,848
156865,74,G,G,G,1168
156865,75,R,R,R,872
156865,76,Y,Y,Y,928
156865,77,B,B,B,1208
156865,78,Y,Y,Y,992
156865,79,B,B,B,1280
156865,80,Y,Y,Y,1160
156865,81,B,B,B,1039
156865,82,G,G,G,976
156865,83,B,B,B,1256
156865,84,G,G,G,728
156865,85,Y,Y,Y,1008
156865,86,R,R,R,440
156865,87,Y,Y,Y,960
156865,88,R,R,R,807
156865,89,G,G,G,1120
156865,90,Y,Y,Y,1008
156866,1,Y,G,G,3844
156866,2,B,R,R,3992
156866,3,R,G,G,1616
156866,4,Y,B,B,1408
156866,5,R,G,R,2304
156866,6,B,R,R,2496
156866,7,R,Y,Y,2624
156866,8,B,G,G,2464
156866,9,Y,B,Y,3200
156866,11,Y,B,B,1816
156866,12,B,R,R,2224
156866,13,G,Y,G,1968
156866,14,Y,B,B,2976
156866,15,B,R,R,2320
156866,16,Y,G,G,2120
156866,17,B,Y,Y,2632
156866,18,G,R,R,2592
156866,19,R,G,G,1943
156866,20,G,Y,Y,1935
156866,21,B,R,R,2472
156866,22,R,B,B,1832
156866,23,B,R,R,1695
156866,24,Y,B,B,3319
156866,25,G,Y,Y,3839
156866,26,B,R,R,2087
156866,27,G,B,B,2200
156866,28,Y,G,G,1615
156866,29,B,Y,Y,2031
156866,30,G,B,B,1599
156866,31,R,G,G,1329
156866,32,Y,B,B,1295
156866,33,G,R,R,1240
156866,34,R,Y,Y,1943
156866,35,Y,G,G,2944
156866,36,B,R,R,1952
156866,37,R,G,G,2984
156866,38,B,R,R,1631
156866,39,Y,G,G,2640
156866,40,G,Y,Y,2240
156866,41,Y,G,G,1848
156866,42,R,B,B,2464
156866,43,Y,G,G,4208
156866,44,G,R,R,1624
156866,45,R,G,G,1792
156866,46,Y,Y,Y,2149
156866,47,G,G,G,1712
156866,48,B,B,B,1583
156866,49,Y,Y,Y,1505
156866,50,B,B,B,1415
156866,51,R,R,R,1128
156866,52,G,G,G,1048
156866,53,B,B,B,1232
156866,54,G,G,G,1175
156866,55,Y,Y,Y,1089
156866,56,R,R,R,1000
156866,57,Y,Y,Y,959
156866,58,G,G,G,1096
156866,59,R,R,R,984
156866,60,G,G,G,983
156866,61,Y,Y,Y,1232
156866,62,B,B,B,1368
156866,63,Y,Y,Y,1704
156866,64,B,B,B,968
156866,65,G,G,G,1056
156866,66,Y,Y,Y,960
156866,67,B,B,B,1072
156866,68,Y,Y,Y,984
156866,69,B,B,B,1584
156866,70,G,G,G,536
156866,71,B,B,B,1184
156866,72,R,R,R,576
156866,73,B,B,B,848
156866,74,G,G,G,1168
156866,75,R,R,R,872
156866,76,Y,Y,Y,928
156866,77,B,B,B,1208
156866,78,Y,Y,Y,992
156866,79,B,B,B,1280
156866,80,Y,Y,Y,1160
156866,81,B,B,B,1039
156866,82,G,G,G,976
156866,83,B,B,B,1256
156866,84,G,G,G,728
156866,85,Y,Y,Y,1008
156866,86,R,R,R,440
156866,87,Y,Y,Y,960
156866,88,R,R,R,807
156866,89,G,G,G,1120
156866,90,Y,Y,Y,1008
156867,1,Y,G,G,3844
156867,2,B,R,R,3992
156867,3,R,G,G,1616
156867,4,Y,B,B,1408
156867,5,R,G,R,2304
156867,6,B,R,R,2496
156867,7,R,Y,Y,2624
156867,8,B,G,G,2464
156867,9,Y,B,Y,3200
156867,11,Y,B,B,1816
156867,12,B,R,R,2224
156867,13,G,Y,G,1968
156867,14,Y,B,B,2976
156867,15,B,R,R,2320
156867,16,Y,G,G,2120
156867,17,B,Y,Y,2632
156867,18,G,R,R,2592
156867,19,R,G,G,1943
156867,20,G,Y,Y,1935
156867,21,B,R,R,2472
156867,22,R,B,B,1832
156867,23,B,R,R,1695
156867,24,Y,B,B,3319
156867,25,G,Y,Y,3839
156867,26,B,R,R,2087
156867,27,G,B,B,2200
156867,28,Y,G,G,1615
156867,29,B,Y,Y,2031
156867,30,G,B,B,1599
156867,31,R,G,G,1329
156867,32,Y,B,B,1295
156867,33,G,R,R,1240
156867,34,R,Y,Y,1943
156867,35,Y,G,G,2944
156867,36,B,R,R,1952
156867,37,R,G,G,2984
156867,38,B,R,R,1631
156867,39,Y,G,G,2640
156867,40,G,Y,Y,2240
156867,41,Y,G,G,1848
156867,42,R,B,B,2464
156867,43,Y,G,G,4208
156867,44,G,R,R,1624
156867,45,R,G,G,1792
156867,46,Y,Y,Y,2149
156867,47,G,G,G,1712
156867,48,B,B,B,1583
156867,49,Y,Y,Y,1505
156867,50,B,B,B,1415
156867,51,R,R,R,1128
156867,52,G,G,G,1048
156867,53,B,B,B,1232
156867,54,G,G,G,1175
156867,55,Y,Y,Y,1089
156867,56,R,R,R,1000
156867,57,Y,Y,Y,959
156867,58,G,G,G,1096
156867,59,R,R,R,984
156867,60,G,G,G,983
156867,61,Y,Y,Y,1232
156867,62,B,B,B,1368
156867,63,Y,Y,Y,1704
156867,64,B,B,B,968
156867,65,G,G,G,1056
156867,66,Y,Y,Y,960
156867,67,B,B,B,1072
156867,68,Y,Y,Y,984
156867,69,B,B,B,1584
156867,70,G,G,G,536
156867,71,B,B,B,1184
156867,72,R,R,R,576
156867,73,B,B,B,848
156867,74,G,G,G,1168
156867,75,R,R,R,872
156867,76,Y,Y,Y,928
156867,77,B,B,B,1208
156867,78,Y,Y,Y,992
156867,79,B,B,B,1280
156867,80,Y,Y,Y,1160
156867,81,B,B,B,1039
156867,82,G,G,G,976
156867,83,B,B,B,1256
156867,84,G,G,G,728
156867,85,Y,Y,Y,1008
156867,86,R,R,R,440
156867,87,Y,Y,Y,960
156867,88,R,R,R,807
156867,89,G,G,G,1120
156867,90,Y,Y,Y,1008
156868,1,G,B,B,2738
156868,2,R,Y,Y,2664
156868,3,Y,R,R,2135
156868,4,R,B,B,2232
156868,5,G,Y,Y,2528
156868,6,R,B,B,1848
156868,7,B,G,G,1872
156868,8,R,Y,Y,1687
156868,9,Y,G,G,2063
156868,10,R,Y,Y,2264
156868,11,G,B,B,1592
156868,12,R,G,G,2600
156868,13,G,Y,Y,1575
156868,14,R,B,B,1560
156868,15,Y,R,R,1927
156868,16,R,B,B,2544
156868,17,G,R,R,4552
156868,18,Y,G,G,1520
156868,19,R,Y,Y,1752
156868,20,B,G,G,2592
156868,21,G,Y,Y,1848
156868,22,Y,G,G,1359
156868,23,B,R,R,1632
156868,24,G,B,B,984
156868,25,Y,R,R,1639
156868,26,B,Y,Y,2000
156868,27,G,B,B,2712
156868,28,Y,G,G,1952
156868,29,R,B,B,3832
156868,30,G,R,R,1656
156868,31,Y,G,G,1520
156868,32,B,Y,Y,1488
156868,33,R,B,B,1840
156868,34,B,Y,Y,1536
156868,35,G,R,R,1456
156868,36,B,Y,Y,1792
156868,37,R,G,G,1864
156868,38,B,Y,Y,1752
156868,39,G,B,B,1376
156868,40,B,R,R,1858
156868,41,Y,B,B,1589
156868,42,R,Y,Y,1600
156868,43,G,B,B,1456
156868,44,B,Y,Y,1592
156868,45,R,G,G,1512
156868,46,G,G,G,2437
156868,47,R,R,R,1496
156868,48,G,G,G,1632
156868,49,R,R,R,2264
156868,50,Y,Y,Y,1648
156868,51,G,G,G,1240
156868,52,R,R,R,1888
156868,53,Y,Y,Y,1976
156868,54,R,R,R,1720
156868,55,G,G,G,1392
156868,56,B,B,B,1120
156868,57,Y,Y,Y,1128
156868,58,G,G,G,1192
156868,59,R,R,R,1736
156868,60,G,G,G,1000
156868,61,B,B,B,1064
156868,62,G,G,G,896
156868,63,B,B,B,792
156868,64,Y,Y,Y,1336
156868,65,B,B,B,1048
156868,66,G,G,G,856
156868,67,Y,Y,Y,1184
156868,68,R,R,R,1864
156868,69,Y,Y,Y,1752
156868,70,R,R,R,1568
156868,71,B,B,B,1048
156868,72,R,R,R,1280
156868,73,G,G,G,1176
156868,74,B,B,B,1112
156868,75,R,R,R,1384
156868,76,B,B,B,1264
156868,77,G,G,G,1136
156868,78,R,R,R,1096
156868,79,G,G,G,776
156868,80,B,B,B,1192
156868,81,G,G,G,896
156868,82,R,R,R,1352
156868,83,Y,Y,Y,1728
156868,84,G,G,G,1160
156868,85,B,B,B,920
156868,86,Y,Y,Y,1432
156868,87,G,G,G,1296
156868,88,R,R,R,2168
156868,89,G,G,G,2144
156868,90,Y,Y,Y,1600
156869,1,Y,G,G,3844
156869,2,B,R,R,3992
156869,3,R,G,G,1616
156869,4,Y,B,B,1408
156869,5,R,G,R,2304
156869,6,B,R,R,2496
156869,7,R,Y,Y,2624
156869,8,B,G,G,2464
156869,9,Y,B,Y,3200
156869,11,Y,B,B,1816
156869,12,B,R,R,2224
156869,13,G,Y,G,1968
156869,14,Y,B,B,2976
156869,15,B,R,R,2320
156869,16,Y,G,G,2120
156869,17,B,Y,Y,2632
156869,18,G,R,R,2592
156869,19,R,G,G,1943
156869,20,G,Y,Y,1935
156869,21,B,R,R,2472
156869,22,R,B,B,1832
156869,23,B,R,R,1695
156869,24,Y,B,B,3319
156869,25,G,Y,Y,3839
156869,26,B,R,R,2087
156869,27,G,B,B,2200
156869,28,Y,G,G,1615
156869,29,B,Y,Y,2031
156869,30,G,B,B,1599
156869,31,R,G,G,1329
156869,32,Y,B,B,1295
156869,33,G,R,R,1240
156869,34,R,Y,Y,1943
156869,35,Y,G,G,2944
156869,36,B,R,R,1952
156869,37,R,G,G,2984
156869,38,B,R,R,1631
156869,39,Y,G,G,2640
156869,40,G,Y,Y,2240
156869,41,Y,G,G,1848
156869,42,R,B,B,2464
156869,43,Y,G,G,4208
156869,44,G,R,R,1624
156869,45,R,G,G,1792
156869,46,Y,Y,Y,2149
156869,47,G,G,G,1712
156869,48,B,B,B,1583
156869,49,Y,Y,Y,1505
156869,50,B,B,B,1415
156869,51,R,R,R,1128
156869,52,G,G,G,1048
156869,53,B,B,B,1232
156869,54,G,G,G,1175
156869,55,Y,Y,Y,1089
156869,56,R,R,R,1000
156869,57,Y,Y,Y,959
156869,58,G,G,G,1096
156869,59,R,R,R,984
156869,60,G,G,G,983
156869,61,Y,Y,Y,1232
156869,62,B,B,B,1368
156869,63,Y,Y,Y,1704
156869,64,B,B,B,968
156869,65,G,G,G,1056
156869,66,Y,Y,Y,960
156869,67,B,B,B,1072
156869,68,Y,Y,Y,984
156869,69,B,B,B,1584
156869,70,G,G,G,536
156869,71,B,B,B,1184
156869,72,R,R,R,576
156869,73,B,B,B,848
156869,74,G,G,G,1168
156869,75,R,R,R,872
156869,76,Y,Y,Y,928
156869,77,B,B,B,1208
156869,78,Y,Y,Y,992
156869,79,B,B,B,1280
156869,80,Y,Y,Y,1160
156869,81,B,B,B,1039
156869,82,G,G,G,976
156869,83,B,B,B,1256
156869,84,G,G,G,728
156869,85,Y,Y,Y,1008
156869,86,R,R,R,440
156869,87,Y,Y,Y,960
156869,88,R,R,R,807
156869,89,G,G,G,1120
156869,90,Y,Y,Y,1008
156870,1,Y,G,G,3844
156870,2,B,R,R,3992
156870,3,R,G,G,1616
156870,4,Y,B,B,1408
156870,5,R,G,R,2304
156870,6,B,R,R,2496
156870,7,R,Y,Y,2624
156870,8,B,G,G,2464
156870,9,Y,B,Y,3200
156870,11,Y,B,B,1816
156870,12,B,R,R,2224
156870,13,G,Y,G,1968
156870,14,Y,B,B,2976
156870,15,B,R,R,2320
156870,16,Y,G,G,2120
156870,17,B,Y,Y,2632
156870,18,G,R,R,2592
156870,19,R,G,G,1943
156870,20,G,Y,Y,1935
156870,21,B,R,R,2472
156870,22,R,B,B,1832
156870,23,B,R,R,1695
156870,24,Y,B,B,3319
156870,25,G,Y,Y,3839
156870,26,B,R,R,2087
156870,27,G,B,B,2200
156870,28,Y,G,G,1615
156870,29,B,Y,Y,2031
156870,30,G,B,B,1599
156870,31,R,G,G,1329
156870,32,Y,B,B,1295
156870,33,G,R,R,1240
156870,34,R,Y,Y,1943
156870,35,Y,G,G,2944
156870,36,B,R,R,1952
156870,37,R,G,G,2984
156870,38,B,R,R,1631
156870,39,Y,G,G,2640
156870,40,G,Y,Y,2240
156870,41,Y,G,G,1848
156870,42,R,B,B,2464
156870,43,Y,G,G,4208
156870,44,G,R,R,1624
156870,45,R,G,G,1792
156870,46,Y,Y,Y,2149
156870,47,G,G,G,1712
156870,48,B,B,B,1583
156870,49,Y,Y,Y,1505
156870,50,B,B,B,1415
156870,51,R,R,R,1128
156870,52,G,G,G,1048
156870,53,B,B,B,1232
156870,54,G,G,G,1175
156870,55,Y,Y,Y,1089
156870,56,R,R,R,1000
156870,57,Y,Y,Y,959
156870,58,G,G,G,1096
156870,59,R,R,R,984
156870,60,G,G,G,983
156870,61,Y,Y,Y,1232
156870,62,B,B,B,1368
156870,63,Y,Y,Y,1704
156870,64,B,B,B,968
156870,65,G,G,G,1056
156870,66,Y,Y,Y,960
156870,67,B,B,B,1072
156870,68,Y,Y,Y,984
156870,69,B,B,B,1584
156870,70,G,G,G,536
156870,71,B,B,B,1184
156870,72,R,R,R,576
156870,73,B,B,B,848
156870,74,G,G,G,1168
156870,75,R,R,R,872
156870,76,Y,Y,Y,928
156870,77,B,B,B,1208
156870,78,Y,Y,Y,992
156870,79,B,B,B,1280
156870,80,Y,Y,Y,1160
156870,81,B,B,B,1039
156870,82,G,G,G,976
156870,83,B,B,B,1256
156870,84,G,G,G,728
156870,85,Y,Y,Y,1008
156870,86,R,R,R,440
156870,87,Y,Y,Y,960
156870,88,R,R,R,807
156870,89,G,G,G,1120
156870,90,Y,Y,Y,1008
156871,1,Y,G,G,3844
156871,2,B,R,R,3992
156871,3,R,G,G,1616
156871,4,Y,B,B,1408
156871,5,R,G,R,2304
156871,6,B,R,R,2496
156871,7,R,Y,Y,2624
156871,8,B,G,G,2464
156871,9,Y,B,Y,3200
156871,11,Y,B,B,1816
156871,12,B,R,R,2224
156871,13,G,Y,G,1968
156871,14,Y,B,B,2976
156871,15,B,R,R,2320
156871,16,Y,G,G,2120
156871,17,B,Y,Y,2632
156871,18,G,R,R,2592
156871,19,R,G,G,1943
156871,20,G,Y,Y,1935
156871,21,B,R,R,2472
156871,22,R,B,B,1832
156871,23,B,R,R,1695
156871,24,Y,B,B,3319
156871,25,G,Y,Y,3839
156871,26,B,R,R,2087
156871,27,G,B,B,2200
156871,28,Y,G,G,1615
156871,29,B,Y,Y,2031
156871,30,G,B,B,1599
156871,31,R,G,G,1329
156871,32,Y,B,B,1295
156871,33,G,R,R,1240
156871,34,R,Y,Y,1943
156871,35,Y,G,G,2944
156871,36,B,R,R,1952
156871,37,R,G,G,2984
156871,38,B,R,R,1631
156871,39,Y,G,G,2640
156871,40,G,Y,Y,2240
156871,41,Y,G,G,1848
156871,42,R,B,B,2464
156871,43,Y,G,G,4208
156871,44,G,R,R,1624
156871,45,R,G,G,1792
156871,46,Y,Y,Y,2149
156871,47,G,G,G,1712
156871,48,B,B,B,1583
156871,49,Y,Y,Y,1505
156871,50,B,B,B,1415
156871,51,R,R,R,1128
156871,52,G,G,G,1048
156871,53,B,B,B,1232
156871,54,G,G,G,1175
156871,55,Y,Y,Y,1089
156871,56,R,R,R,1000
156871,57,Y,Y,Y,959
156871,58,G,G,G,1096
156871,59,R,R,R,984
156871,60,G,G,G,983
156871,61,Y,Y,Y,1232
156871,62,B,B,B,1368
156871,63,Y,Y,Y,1704
156871,64,B,B,B,968
156871,65,G,G,G,1056
156871,66,Y,Y,Y,960
156871,67,B,B,B,1072
156871,68,Y,Y,Y,984
156871,69,B,B,B,1584
156871,70,G,G,G,536
156871,71,B,B,B,1184
156871,72,R,R,R,576
156871,73,B,B,B,848
156871,74,G,G,G,1168
156871,75,R,R,R,872
156871,76,Y,Y,Y,928
156871,77,B,B,B,1208
156871,78,Y,Y,Y,992
156871,79,B,B,B,1280
156871,80,Y,Y,Y,1160
156871,81,B,B,B,1039
156871,82,G,G,G,976
156871,83,B,B,B,1256
156871,84,G,G,G,728
156871,85,Y,Y,Y,1008
156871,86,R,R,R,440
156871,87,Y,Y,Y,960
156871,88,R,R,R,807
156871,89,G,G,G,1120
156871,90,Y,Y,Y,1008
156872,2,Y,B,R,2984
156872,3,G,Y,G,2944
156872,4,Y,B,G,3040
156872,7,B,Y,Y,4600
156872,8,Y,B,B,2032
156872,9,R,G,G,2320
156872,10,B,Y,Y,2312
156872,11,Y,R,R,2424
156872,12,R,B,B,3968
156872,13,B,G,G,2488
156872,14,R,Y,Y,2872
156872,15,B,G,G,3048
156872,16,R,Y,Y,2840
156872,17,Y,G,G,2336
156872,18,B,Y,Y,2456
156872,19,Y,R,R,1767
156872,20,G,B,B,1976
156872,21,R,Y,Y,2024
156872,22,Y,B,B,3704
156872,23,R,G,G,1656
156872,24,Y,B,B,1464
156872,25,G,Y,Y,3095
156872,26,R,B,B,2233
156872,27,Y,G,G,2224
156872,28,B,R,R,2151
156872,29,Y,G,G,2112
156872,30,G,B,B,1256
156872,31,Y,R,R,1472
156872,32,G,B,B,1768
156872,33,B,Y,Y,2128
156872,34,G,B,B,2287
156872,35,B,G,G,1391
156872,36,R,B,B,2175
156872,37,B,R,R,1552
156872,38,R,B,B,1928
156872,39,B,G,G,1176
156872,40,Y,R,R,3216
156872,41,R,G,G,2024
156872,42,B,Y,Y,2688
156872,43,G,B,B,1664
156872,44,R,Y,Y,3088
156872,45,Y,B,B,2272
156872,46,G,G,G,3989
156872,47,R,R,R,2424
156872,48,G,G,G,1856
156872,49,Y,Y,Y,1880
156872,50,G,G,G,2048
156872,51,B,B,B,1776
156872,52,R,R,R,2040
156872,53,B,B,B,1920
156872,54,Y,Y,Y,1792
156872,55,B,B,B,1752
156872,56,G,G,G,1456
156872,57,Y,Y,Y,1520
156872,58,G,G,G,2136
156872,59,R,R,R,1576
156872,60,G,G,G,1464
156872,61,Y,Y,Y,1520
156872,62,G,G,G,2240
156872,63,Y,Y,Y,1864
156872,64,R,R,R,1616
156872,65,B,B,B,2208
156872,66,Y,Y,Y,1504
156872,67,B,B,B,2200
156872,68,G,G,G,1384
156872,69,Y,Y,Y,1480
156872,70,G,G,G,1808
156872,71,Y,Y,Y,2008
156872,72,B,B,B,1944
156872,73,G,G,G,1760
156872,74,B,B,B,1440
156872,75,G,G,G,1552
156872,76,B,B,B,1624
156872,77,Y,Y,Y,1360
156872,78,R,R,R,1376
156872,79,G,G,G,1512
156872,80,B,B,B,1680
156872,81,R,R,R,1496
156872,82,G,G,G,2056
156872,83,R,R,R,1568
156872,84,G,G,G,2008
156872,85,R,R,R,1248
156872,86,Y,Y,Y,1632
156872,87,G,G,G,2016
156872,88,R,R,R,1472
156872,89,G,G,G,1799
156872,90,Y,Y,Y,1471
156873,1,Y,G,G,3844
156873,2,B,R,R,3992
156873,3,R,G,G,1616
156873,4,Y,B,B,1408
156873,5,R,G,R,2304
156873,6,B,R,R,2496
156873,7,R,Y,Y,2624
156873,8,B,G,G,2464
156873,9,Y,B,Y,3200
156873,11,Y,B,B,1816
156873,12,B,R,R,2224
156873,13,G,Y,G,1968
156873,14,Y,B,B,2976
156873,15,B,R,R,2320
156873,16,Y,G,G,2120
156873,17,B,Y,Y,2632
156873,18,G,R,R,2592
156873,19,R,G,G,1943
156873,20,G,Y,Y,1935
156873,21,B,R,R,2472
156873,22,R,B,B,1832
156873,23,B,R,R,1695
156873,24,Y,B,B,3319
156873,25,G,Y,Y,3839
156873,26,B,R,R,2087
156873,27,G,B,B,2200
156873,28,Y,G,G,1615
156873,29,B,Y,Y,2031
156873,30,G,B,B,1599
156873,31,R,G,G,1329
156873,32,Y,B,B,1295
156873,33,G,R,R,1240
156873,34,R,Y,Y,1943
156873,35,Y,G,G,2944
156873,36,B,R,R,1952
156873,37,R,G,G,2984
156873,38,B,R,R,1631
156873,39,Y,G,G,2640
156873,40,G,Y,Y,2240
156873,41,Y,G,G,1848
156873,42,R,B,B,2464
156873,43,Y,G,G,4208
156873,44,G,R,R,1624
156873,45,R,G,G,1792
156873,46,Y,Y,Y,2149
156873,47,G,G,G,1712
156873,48,B,B,B,1583
156873,49,Y,Y,Y,1505
156873,50,B,B,B,1415
156873,51,R,R,R,1128
156873,52,G,G,G,1048
156873,53,B,B,B,1232
156873,54,G,G,G,1175
156873,55,Y,Y,Y,1089
156873,56,R,R,R,1000
156873,57,Y,Y,Y,959
156873,58,G,G,G,1096
156873,59,R,R,R,984
156873,60,G,G,G,983
156873,61,Y,Y,Y,1232
156873,62,B,B,B,1368
156873,63,Y,Y,Y,1704
156873,64,B,B,B,968
156873,65,G,G,G,1056
156873,66,Y,Y,Y,960
156873,67,B,B,B,1072
156873,68,Y,Y,Y,984
156873,69,B,B,B,1584
156873,70,G,G,G,536
156873,71,B,B,B,1184
156873,72,R,R,R,576
156873,73,B,B,B,848
156873,74,G,G,G,1168
156873,75,R,R,R,872
156873,76,Y,Y,Y,928
156873,77,B,B,B,1208
156873,78,Y,Y,Y,992
156873,79,B,B,B,1280
156873,80,Y,Y,Y,1160
156873,81,B,B,B,1039
156873,82,G,G,G,976
156873,83,B,B,B,1256
156873,84,G,G,G,728
156873,85,Y,Y,Y,1008
156873,86,R,R,R,440
156873,87,Y,Y,Y,960
156873,88,R,R,R,807
156873,89,G,G,G,1120
156873,90,Y,Y,Y,1008
156874,1,Y,G,G,3844
156874,2,B,R,R,3992
156874,3,R,G,G,1616
156874,4,Y,B,B,1408
156874,5,R,G,R,2304
156874,6,B,R,R,2496
156874,7,R,Y,Y,2624
156874,8,B,G,G,2464
156874,9,Y,B,Y,3200
156874,11,Y,B,B,1816
156874,12,B,R,R,2224
156874,13,G,Y,G,1968
156874,14,Y,B,B,2976
156874,15,B,R,R,2320
156874,16,Y,G,G,2120
156874,17,B,Y,Y,2632
156874,18,G,R,R,2592
156874,19,R,G,G,1943
156874,20,G,Y,Y,1935
156874,21,B,R,R,2472
156874,22,R,B,B,1832
156874,23,B,R,R,1695
156874,24,Y,B,B,3319
156874,25,G,Y,Y,3839
156874,26,B,R,R,2087
156874,27,G,B,B,2200
156874,28,Y,G,G,1615
156874,29,B,Y,Y,2031
156874,30,G,B,B,1599
156874,31,R,G,G,1329
156874,32,Y,B,B,1295
156874,33,G,R,R,1240
156874,34,R,Y,Y,1943
156874,35,Y,G,G,2944
156874,36,B,R,R,1952
156874,37,R,G,G,2984
156874,38,B,R,R,1631
156874,39,Y,G,G,2640
156874,40,G,Y,Y,2240
156874,41,Y,G,G,1848
156874,42,R,B,B,2464
156874,43,Y,G,G,4208
156874,44,G,R,R,1624
156874,45,R,G,G,1792
156874,46,Y,Y,Y,2149
156874,47,G,G,G,1712
156874,48,B,B,B,1583
156874,49,Y,Y,Y,1505
156874,50,B,B,B,1415
156874,51,R,R,R,1128
156874,52,G,G,G,1048
156874,53,B,B,B,1232
156874,54,G,G,G,1175
156874,55,Y,Y,Y,1089
156874,56,R,R,R,1000
156874,57,Y,Y,Y,959
156874,58,G,G,G,1096
156874,59,R,R,R,984
156874,60,G,G,G,983
156874,61,Y,Y,Y,1232
156874,62,B,B,B,1368
156874,63,Y,Y,Y,1704
156874,64,B,B,B,968
156874,65,G,G,G,1056
156874,66,Y,Y,Y,960
156874,67,B,B,B,1072
156874,68,Y,Y,Y,984
156874,69,B,B,B,1584
156874,70,G,G,G,536
156874,71,B,B,B,1184
156874,72,R,R,R,576
156874,73,B,B,B,848
156874,74,G,G,G,1168
156874,75,R,R,R,872
156874,76,Y,Y,Y,928
156874,77,B,B,B,1208
156874,78,Y,Y,Y,992
156874,79,B,B,B,1280
156874,80,Y,Y,Y,1160
156874,81,B,B,B,1039
156874,82,G,G,G,976
156874,83,B,B,B,1256
156874,84,G,G,G,728
156874,85,Y,Y,Y,1008
156874,86,R,R,R,440
156874,87,Y,Y,Y,960
156874,88,R,R,R,807
156874,89,G,G,G,1120
156874,90,Y,Y,Y,1008
156875,3,Y,G,G,4992
156875,4,R,Y,Y,1904
156875,5,G,R,R,5320
156875,6,R,Y,Y,3432
156875,7,G,B,B,3856
156875,8,R,Y,Y,1536
156875,9,G,B,B,1656
156875,10,B,R,R,1872
156875,11,G,B,B,2088
156875,12,B,G,G,5256
156875,14,B,G,G,1552
156875,15,Y,B,B,2208
156875,16,B,Y,Y,1648
156875,17,G,B,B,1752
156875,18,Y,R,R,5344
156875,19,R,B,B,3432
156875,20,B,R,R,1968
156875,21,G,Y,Y,1440
156875,22,B,R,R,1599
156875,23,R,G,G,1711
156875,24,B,R,R,1560
156875,25,G,B,B,2856
156875,26,Y,G,G,1888
156875,27,R,B,B,1512
156875,28,G,Y,Y,1904
156875,29,B,G,G,2799
156875,30,Y,B,B,1648
156875,31,G,Y,Y,1551
156875,32,R,B,B,1360
156875,33,B,R,R,1447
156875,34,G,B,B,3256
156875,35,Y,G,G,3560
156875,36,G,R,R,1615
156875,37,R,G,G,1655
156875,38,G,Y,Y,1599
156875,39,Y,B,B,2455
156875,40,B,G,G,2423
156875,41,R,B,B,1575
156875,42,Y,G,G,2623
156875,43,R,Y,Y,1687
156875,44,B,G,G,1591
156875,45,Y,R,R,2240
156875,47,R,R,R,1424
156875,48,B,B,B,1968
156875,49,R,R,R,1440
156875,51,R,R,R,5760
156875,52,Y,Y,Y,3200
156875,53,R,R,R,1224
156875,54,Y,Y,Y,1104
156875,55,B,B,B,1360
156875,56,G,G,G,2152
156875,57,R,R,R,1248
156875,58,B,B,B,1152
